Ticker,Mu
AAPL,0.14896473783321335
AMZN,0.1580706918237398
BA,0.01469828283708156
DIS,-0.06446516383556417
GOOGL,0.14414385443198408
GS,0.18636271559741235
INTC,-0.20580091071258982
JNJ,-0.014700246415453633
JPM,0.19120620056295165
KO,0.05881616350253586
LLY,0.40106637005302853
META,0.3055417770234529
MRK,0.13540716509223133
MSFT,0.12379062092198548
NFLX,0.26098130453113494
NVDA,0.6522470835961877
PEP,0.0002435706045761353
PFE,-0.1789367729911889
PG,0.04999082513519129
PYPL,-0.1755473230117673
TSLA,0.19022072729745546
UNH,0.04666865532496157
V,0.15150348088746307
WMT,0.24629664672796678
XOM,0.24908874328752129
