Date,AAPL,AMZN,BA,DIS,GOOGL,GS,INTC,JNJ,JPM,KO,LLY,META,MRK,MSFT,NFLX,NVDA,PEP,PFE,PG,PYPL,TSLA,UNH,V,WMT,XOM
2022-01-04,-0.012691723453448156,-0.016915587005979504,0.027759089076869747,-0.006570552161908827,-0.00408286221820231,0.030733941447961932,-0.0013156131120403147,-0.002681572962923928,0.037909724279157286,0.01669462435781477,-0.018106383954347827,-0.005937274630045786,0.0018210431578407071,-0.017147441269919184,-0.010412271093896086,-0.027588698035041936,0.0014451620818283217,-0.03742312106138879,0.0034993002975429732,-0.019493144560908893,-0.041832696836128,-0.022656895973218072,0.004651650369952076,-0.018320126087951305,0.03761426072932039
2022-01-05,-0.026599663315630573,-0.018893091563845,-0.002621343190536085,-0.003467318122250651,-0.04587635802323786,-0.021718934242705656,0.013737397942432228,0.006663387679240129,-0.018281957459928555,0.008293229196577379,-0.023087507535126228,-0.03672779115136415,0.024282718431873462,-0.03838781754566667,-0.03997297995443272,-0.05756225614770727,0.003406100031079884,0.02017259641238711,0.004526788094385115,-0.020822420020650156,-0.05347121367683638,-0.0024647808732521925,-0.011058281257076086,0.013521034695490153,0.012437440028810531
2022-01-06,-0.01669355414376472,-0.006710981961323137,-0.008119448664098639,0.011018530203791288,-0.00019954870948268866,-0.004264738635390897,0.0025987600592483062,-0.003425554696115385,0.01062400434037225,-0.0052638743413749856,-0.005064313494889117,0.025573043310943122,-0.000633752738575466,-0.00790180155839837,-0.025074012602912532,0.020794071650972246,0.0002301245483855574,-0.01420113594464345,-0.00840386497740242,0.02730284007468886,-0.02152337383085412,-0.04092388120736379,-0.001136288189845014,-0.0027793557412179037,0.02352053872017912
2022-01-07,0.0009883747098033968,-0.004287778294336242,0.019683939311981202,0.00592732246202976,-0.005303113223773748,0.0014613690491871445,-0.010553528909288401,0.013517194836901503,0.009908270117589657,-0.002315417873127945,0.0006554970283543238,-0.002015315808054252,0.018647741048782196,0.0005096110529601017,-0.022104133536815063,-0.0330401592455033,0.0012655945785011724,0.016046709720781704,-0.0005528968272446866,-0.024288797541519802,-0.035446567451716815,-0.023528060849885124,-0.012696123286137562,0.009545729770779499,0.008196640044208614
2022-01-10,0.00011612723556253535,-0.006570176170610398,-0.02872390924086432,-0.0077930320775698725,0.012060603603954556,0.004175884939218166,0.03312120647241934,-0.004943814476481068,0.0009570201780149112,0.0016577184448294258,0.002350612457002743,-0.011211927945833255,0.025778106184125793,0.0007324192453928013,-0.002236321014684406,0.0056155336068572925,0.0005167060261517253,0.009332439861641006,-0.013641389405369186,-0.024786798712684632,0.03034195341380186,0.013955507653581556,-0.022999718334256403,-0.0019325658822252345,-0.0059522877573547905
2022-01-11,0.016784011653070863,0.024002125643924677,0.03205774588950927,0.008237313291870496,0.0076910360742676875,0.009720109663386323,0.012678950529877664,-0.010630238808721382,0.0010159824593078959,0.000331023640115502,0.008496580752374916,0.019203220702739054,-0.008498299865143721,0.0022593222314952754,0.0018338246238440714,0.015219005559204968,-0.00045912384900892445,0.008001334187089038,-0.011587382843192495,0.046843510369611874,0.005935024657598653,0.008602180363454393,0.011369534183656382,-0.002835152577163713,0.04206207838081566
2022-01-12,0.002570191748553219,-0.0009373300985386912,0.0066197233936613475,-0.0005698652749859257,0.012126277377406014,-0.031608876126883345,-0.0030405965842944527,-0.008525732238410355,0.005671804523266433,0.0014888986624612688,-0.02439770925190199,-0.0033196511592931133,-0.005754893069361056,0.010444966638692543,-0.006693282933398104,0.006542776378042792,-0.0010914964327876087,-0.0007052746979605562,0.002205959294015347,-0.022556476495603772,0.039289748931841784,0.010063773173734303,0.0062039721862403585,-0.005270564043363568,-0.0029430682034086164
2022-01-13,-0.019028244178831755,-0.024169655027437842,0.029661977644347415,-0.01495559127863344,-0.020105058180789337,0.0012554682632184289,-0.01435236417685204,-0.006066269643359545,-0.001246638896931107,0.005946311621815692,-0.02442154881117775,-0.02034446141172397,0.0014780419193540784,-0.0423225600369328,-0.03354309126671351,-0.05085906721654143,0.0016100304202717464,-0.019594267592470516,-0.00452782185881484,-0.03306619893836782,-0.06749107331435766,-0.013277817160309735,-0.0032913073864123676,0.014152401506490664,-0.007169005271390083
2022-01-14,0.005110727288136552,0.005731487003565627,0.009200593450374273,-0.022516764564623704,0.00644705494200748,-0.02523043658587054,0.013833151575936675,-0.0054515959190647445,-0.06146366706227391,0.00804606809086117,-0.022229313440238818,0.01660135375174865,0.0007376630373203685,0.017716723465596607,0.012500040409930024,0.013810094782098048,0.008382186336068465,-0.010623016564952015,0.009602656668693088,-0.014308637608133057,0.017497758575059086,0.0026956060087504063,-0.0015351544643602555,-0.002818557679329814,0.017556258244461276
2022-01-18,-0.01889406374147007,-0.019862738846190164,-0.004204337842113159,0.0021718793381180213,-0.02496761549444171,-0.06966989497265896,-0.01687597832159704,-0.004408713932779418,-0.0419276761618157,-0.007981845617531902,0.012084092565805227,-0.04142825463068034,0.001966007489115018,-0.024339200202186384,-0.028324647723387164,-0.03856441689243095,-0.00956497987054794,-0.015286539114643616,-0.019272937733651685,-0.02219469939599772,-0.01819724123253097,-0.01642894009537521,0.004844767793485971,-0.01750989809258008,0.01683568303170513
