Ticker,Mu
AAPL,0.14896477729418758
AMZN,0.1580706918237398
BA,0.01469828283708156
DIS,-0.06446519747769973
GOOGL,0.1441437465444154
GS,0.18636266411429148
INTC,-0.20580087896625088
JNJ,-0.014700254608333588
JPM,0.19120616855695122
KO,0.05881617979050669
LLY,0.40106632524495883
META,0.30554176554694956
MRK,0.13540722042959089
MSFT,0.12379074393180325
NFLX,0.26098130453113494
NVDA,0.6522471319840699
PEP,0.00024356810321062166
PFE,-0.17893663666711204
PG,0.0499908091490238
PYPL,-0.1755473230117673
TSLA,0.19022072729745546
UNH,0.046668686829290505
V,0.15150348787902912
WMT,0.24629677839196035
XOM,0.2490886866927632
