Experiment Name,Algorithm Settings,Sharpe Ratio performance in Train,Sharpe Ratio performance in Test,Evolution of performance(Test vs Train),Runtime
Benchmark Markowitz,Mathematical Optimization,1.8847,1.4583,-0.4264,
PSO Fast,Pop:20 Iter:50 w:0.7 c1:1.2,1.8847,1.4583,-0.4264,0.014429957955144346s
PSO Standard,Pop:40 Iter:100 w:0.7298 c1:1.4962,1.783,1.4364,-0.3466,0.049195958068594337s
PSO Aggressive,Pop:70 Iter:200 w:0.8 c1:2.0,1.7835,1.4358,-0.3477,0.16693824995309114s
